Id,day,TotalSteps,TotalMinutesAsleep,avg_hr,min_hr,load
3,2026-01-15,12015,401,92.75,62.0,1.0
3,2026-01-16,12852,409,95.75,62.0,2.0
3,2026-01-17,7402,424,79.9090909090909,58.0,0.0
3,2026-01-18,7410,430,78.66666666666667,58.0,0.0
3,2026-01-19,12355,404,94.77272727272727,61.0,0.0
3,2026-01-20,11533,422,90.83333333333333,58.0,2.0
3,2026-01-21,11500,412,91.79166666666667,61.0,2.0
3,2026-01-22,11824,418,91.3913043478261,63.0,1.0
3,2026-01-23,12042,416,93.52380952380952,61.0,1.0
3,2026-01-24,6889,436,77.25,57.0,0.0
3,2026-01-25,6752,431,76.18181818181819,58.0,0.0
3,2026-01-26,11573,442,92.45454545454545,62.0,1.0
3,2026-01-27,10793,424,87.95652173913044,60.0,2.0
3,2026-01-28,11129,420,91.81818181818181,64.0,1.0
3,2026-01-29,19701,392,116.17391304347827,69.0,2.0
3,2026-01-30,19169,386,111.5,65.0,1.0
3,2026-01-31,12005,413,93.65217391304348,62.0,0.0
3,2026-02-01,7379,403,78.25,57.0,0.0
3,2026-02-02,11559,409,91.08333333333333,62.0,1.0
3,2026-02-03,11263,413,69.0,66.0,2.0
4,2026-01-05,9520,359,85.52173913043478,56.0,2.0
4,2026-01-06,9270,353,83.65217391304348,58.0,1.0
4,2026-01-07,9562,350,85.04347826086956,57.0,2.0
4,2026-01-08,10045,360,87.95652173913044,57.0,0.0
4,2026-01-09,9733,367,85.625,57.0,2.0
4,2026-01-10,6145,391,73.95454545454545,51.0,0.0
4,2026-01-11,6442,377,73.78260869565217,54.0,0.0
4,2026-01-12,10457,356,88.0,58.0,1.0
4,2026-01-13,9934,359,85.04166666666667,57.0,2.0
4,2026-01-14,9652,379,84.5909090909091,56.0,1.0
4,2026-01-15,9448,373,84.66666666666667,55.0,0.0
4,2026-01-16,10757,350,90.72727272727273,60.0,2.0
4,2026-01-17,6254,376,72.52173913043478,50.0,0.0
4,2026-01-18,5900,377,72.79166666666667,53.0,0.0
4,2026-01-19,10232,368,85.52380952380952,57.0,0.0
4,2026-01-20,9900,363,86.75,58.0,1.0
4,2026-01-21,10155,354,87.69565217391305,57.0,1.0
4,2026-01-22,10887,374,90.04545454545455,59.0,1.0
4,2026-01-23,11744,338,94.0,59.0,2.0
4,2026-01-24,6599,376,76.30434782608695,54.0,0.0
4,2026-01-25,6248,377,73.66666666666667,53.0,0.0
4,2026-01-26,9836,364,84.77272727272727,56.0,2.0
4,2026-01-27,10070,376,88.52173913043478,58.0,1.0
4,2026-01-28,9978,365,88.1304347826087,58.0,0.0
4,2026-01-29,9534,362,84.0,55.0,1.0
4,2026-01-30,9916,371,87.30434782608695,57.0,1.0
4,2026-01-31,6043,375,72.0,51.0,0.0
4,2026-02-01,6360,370,74.20833333333333,53.0,0.0
4,2026-02-02,9798,370,86.82608695652173,55.0,2.0
4,2026-02-03,8656,382,64.0,61.0,2.0
5,2026-01-05,11431,416,95.34782608695652,65.0,1.0
5,2026-01-06,10773,433,95.08333333333333,65.0,0.0
5,2026-01-07,10912,426,95.95833333333333,66.0,2.0
5,2026-01-08,11184,416,94.95833333333333,67.0,1.0
5,2026-01-09,10506,416,93.41666666666667,64.0,1.0
5,2026-01-10,6102,442,80.43478260869566,61.0,0.0
5,2026-01-11,6116,438,79.31818181818181,61.0,0.0
5,2026-01-12,10391,419,92.18181818181819,66.0,1.0
5,2026-01-13,10163,449,93.38095238095238,67.0,1.0
5,2026-01-14,9880,430,92.17391304347827,65.0,2.0
5,2026-01-15,10630,432,95.52173913043478,68.0,0.0
5,2026-01-16,10567,422,94.70833333333333,65.0,0.0
5,2026-01-17,6414,446,81.18181818181819,62.0,0.0
5,2026-01-18,5659,448,78.83333333333333,61.0,0.0
5,2026-01-19,9940,425,89.15,63.0,2.0
5,2026-01-20,10178,424,91.82608695652173,65.0,1.0
5,2026-01-21,10400,432,95.04166666666667,66.0,2.0
5,2026-01-22,10070,430,91.43478260869566,64.0,1.0
5,2026-01-23,10646,419,94.54545454545455,66.0,1.0
5,2026-01-24,6816,430,84.5,64.0,0.0
5,2026-01-25,6619,442,83.31818181818181,64.0,0.0
5,2026-01-26,11572,421,97.5,67.0,1.0
5,2026-01-27,12002,438,100.0,67.0,1.0
5,2026-01-28,12329,431,99.625,66.0,2.0
5,2026-01-29,12147,418,99.04166666666667,68.0,2.0
5,2026-01-30,11941,425,99.70833333333333,65.0,2.0
5,2026-01-31,7343,441,83.86363636363636,63.0,0.0
5,2026-02-01,7011,430,82.58333333333333,62.0,0.0
5,2026-02-02,11921,422,98.375,67.0,1.0
5,2026-02-03,11664,423,,,1.0
6,2026-01-05,6380,420,95.95652173913044,65.0,1.0
6,2026-01-06,5787,419,89.25,61.0,2.0
6,2026-01-07,5880,422,90.29166666666667,61.0,2.0
6,2026-01-08,6062,425,91.45454545454545,62.0,1.0
6,2026-01-09,6186,423,92.0909090909091,63.0,1.0
6,2026-01-10,3673,431,78.45454545454545,56.0,0.0
6,2026-01-11,3377,436,76.20833333333333,59.0,0.0
6,2026-01-12,5243,419,87.08333333333333,62.0,2.0
6,2026-01-13,5074,427,87.04347826086956,63.0,0.0
6,2026-01-14,5506,426,89.08333333333333,62.0,1.0
6,2026-01-15,5796,440,89.75,62.0,0.0
6,2026-01-16,6001,424,90.69565217391305,63.0,2.0
6,2026-01-17,3573,429,77.20833333333333,56.0,0.0
6,2026-01-18,3696,433,78.28571428571429,58.0,0.0
6,2026-01-19,6361,432,92.04347826086956,62.0,1.0
6,2026-01-20,6647,414,93.54166666666667,62.0,1.0
6,2026-01-21,6189,419,94.3,62.0,1.0
6,2026-01-22,5806,415,90.56521739130434,58.0,2.0
6,2026-01-23,6394,417,92.70833333333333,62.0,2.0
6,2026-01-24,3769,418,77.68181818181819,55.0,0.0
6,2026-01-25,3776,434,77.8695652173913,55.0,0.0
6,2026-01-26,6023,422,90.38095238095238,61.0,1.0
6,2026-01-27,6357,420,94.6086956521739,64.0,2.0
6,2026-01-28,6600,408,94.08695652173913,63.0,0.0
6,2026-01-29,6478,423,93.16666666666667,63.0,1.0
6,2026-01-30,6630,420,94.29166666666667,61.0,1.0
6,2026-01-31,3976,428,78.27272727272727,58.0,0.0
6,2026-02-01,3751,452,78.0,59.0,0.0
6,2026-02-02,6247,423,93.95652173913044,63.0,0.0
6,2026-02-03,5825,428,72.0,69.0,1.0
7,2026-01-05,7612,413,80.66666666666667,54.0,2.0
7,2026-01-06,7417,398,78.20833333333333,50.0,1.0
7,2026-01-07,7845,400,80.78260869565217,52.0,2.0
7,2026-01-08,8065,392,81.16666666666667,52.0,2.0
7,2026-01-09,7943,391,81.27272727272727,50.0,1.0
7,2026-01-10,4486,412,67.04347826086956,48.0,0.0
7,2026-01-11,4563,418,66.6086956521739,48.0,0.0
7,2026-01-12,7587,393,80.54545454545455,48.0,1.0
7,2026-01-13,7586,405,79.13636363636364,52.0,2.0
7,2026-01-14,7563,396,78.18181818181819,51.0,0.0
7,2026-01-15,8080,396,81.47826086956522,51.0,1.0
7,2026-01-16,7955,392,79.5,49.0,2.0
7,2026-01-17,5263,402,69.95238095238095,47.0,0.0
7,2026-01-18,4820,403,67.04347826086956,46.0,0.0
7,2026-01-19,8125,385,83.13636363636364,53.0,0.0
7,2026-01-20,8747,387,85.52173913043478,53.0,0.0
7,2026-01-21,8751,395,85.125,51.0,1.0
7,2026-01-22,8587,393,84.58333333333333,52.0,1.0
7,2026-01-23,8132,397,82.52173913043478,52.0,1.0
7,2026-01-24,4750,405,67.45454545454545,47.0,0.0
7,2026-01-25,4814,407,66.38095238095238,46.0,0.0
7,2026-01-26,7942,405,81.5,52.0,1.0
7,2026-01-27,8065,399,83.63157894736842,50.0,1.0
7,2026-01-28,8049,392,82.14285714285714,50.0,2.0
7,2026-01-29,8401,399,83.08695652173913,52.0,2.0
7,2026-01-30,8382,403,82.77272727272727,51.0,2.0
7,2026-01-31,5108,387,69.73913043478261,50.0,0.0
7,2026-02-01,5232,402,70.04347826086956,51.0,0.0
7,2026-02-02,8427,393,83.625,50.0,1.0
7,2026-02-03,8691,391,62.0,58.0,2.0
8,2026-01-05,7892,350,87.91666666666667,58.0,1.0
8,2026-01-06,8217,349,88.72727272727273,58.0,1.0
8,2026-01-07,8298,351,88.78260869565217,58.0,2.0
8,2026-01-08,7759,352,88.95652173913044,60.0,2.0
8,2026-01-09,7722,344,87.70833333333333,58.0,2.0
8,2026-01-10,4756,352,73.04545454545455,53.0,0.0
8,2026-01-11,4635,354,73.65217391304348,54.0,0.0
8,2026-01-12,7328,362,86.34782608695652,56.0,0.0
8,2026-01-13,7659,361,86.5,56.0,2.0
8,2026-01-14,7700,367,87.04166666666667,57.0,2.0
8,2026-01-15,7690,355,86.4090909090909,58.0,2.0
8,2026-01-16,7448,349,85.91304347826087,57.0,2.0
8,2026-01-17,4124,359,70.0952380952381,52.0,0.0
8,2026-01-18,4094,358,70.6086956521739,53.0,0.0
8,2026-01-19,7757,354,86.9,59.0,2.0
8,2026-01-20,8431,346,91.04347826086956,58.0,2.0
8,2026-01-21,7749,356,88.69565217391305,61.0,2.0
8,2026-01-22,7877,362,87.66666666666667,58.0,2.0
8,2026-01-23,7427,338,88.34782608695652,58.0,2.0
8,2026-01-24,4595,369,73.0,55.0,0.0
8,2026-01-25,4308,361,72.17391304347827,54.0,0.0
8,2026-01-26,7662,351,87.41666666666667,58.0,2.0
8,2026-01-27,8082,353,89.04545454545455,58.0,1.0
8,2026-01-28,7676,352,86.69565217391305,58.0,2.0
8,2026-01-29,7635,338,86.69565217391305,58.0,1.0
8,2026-01-30,7767,333,88.45,60.0,2.0
8,2026-01-31,4453,359,74.04347826086956,55.0,0.0
8,2026-02-01,4705,366,74.25,54.0,0.0
8,2026-02-02,7671,361,85.26086956521739,57.0,2.0
8,2026-02-03,7758,360,,,1.0
9,2026-01-05,8664,361,89.21739130434783,59.0,2.0
9,2026-01-06,8355,364,88.22727272727273,60.0,2.0
9,2026-01-07,8747,371,89.08695652173913,59.0,1.0
9,2026-01-08,8621,359,89.68181818181819,61.0,1.0
9,2026-01-09,9102,355,89.1304347826087,61.0,2.0
9,2026-01-10,5648,384,76.63636363636364,58.0,0.0
9,2026-01-11,5510,386,76.08333333333333,54.0,0.0
9,2026-01-12,9654,365,92.3913043478261,58.0,1.0
9,2026-01-13,9046,361,89.625,59.0,1.0
9,2026-01-14,9171,364,91.26086956521739,61.0,0.0
9,2026-01-15,8972,356,90.76190476190476,60.0,0.0
9,2026-01-16,9049,361,90.26086956521739,60.0,2.0
9,2026-01-17,4883,380,73.47826086956522,54.0,0.0
9,2026-01-18,4583,373,74.22727272727273,55.0,0.0
9,2026-01-19,7745,360,83.8,57.0,1.0
9,2026-01-20,7506,373,84.0,58.0,1.0
9,2026-01-21,7431,366,82.8695652173913,58.0,2.0
9,2026-01-22,7357,385,84.9047619047619,57.0,1.0
9,2026-01-23,7639,371,84.0,57.0,1.0
9,2026-01-24,4958,361,72.23809523809524,54.0,0.0
9,2026-01-25,5380,371,74.56521739130434,55.0,0.0
9,2026-01-26,7822,370,82.86363636363636,59.0,0.0
9,2026-01-27,8933,379,88.04347826086956,59.0,1.0
9,2026-01-28,8467,362,88.82608695652173,59.0,0.0
9,2026-01-29,8675,360,86.38095238095238,58.0,2.0
9,2026-01-30,8117,358,87.1304347826087,60.0,0.0
9,2026-01-31,4804,377,73.33333333333333,54.0,0.0
9,2026-02-01,5105,387,74.86363636363636,55.0,0.0
9,2026-02-02,7922,370,86.04761904761905,59.0,2.0
9,2026-02-03,7930,366,66.0,62.0,2.0
10,2026-01-05,9277,501,89.29166666666667,60.0,2.0
10,2026-01-06,9092,493,87.3913043478261,59.0,2.0
10,2026-01-07,8251,497,85.31818181818181,58.0,0.0
10,2026-01-08,9289,509,90.65217391304348,59.0,0.0
10,2026-01-09,9227,495,89.08695652173913,59.0,1.0
10,2026-01-10,5987,513,77.4090909090909,55.0,0.0
10,2026-01-11,5914,500,77.36363636363636,57.0,0.0
10,2026-01-12,9190,496,88.78260869565217,59.0,2.0
10,2026-01-13,9581,508,92.17391304347827,63.0,1.0
10,2026-01-14,9464,503,89.21739130434783,58.0,1.0
10,2026-01-15,9106,491,87.26086956521739,58.0,1.0
10,2026-01-16,9168,496,88.4090909090909,60.0,2.0
10,2026-01-17,5224,515,74.56521739130434,55.0,0.0
10,2026-01-18,5072,515,74.375,56.0,0.0
10,2026-01-19,8270,505,86.43478260869566,58.0,1.0
10,2026-01-20,9103,520,88.26086956521739,61.0,0.0
10,2026-01-21,9971,503,90.95238095238095,60.0,1.0
10,2026-01-22,10425,498,93.52173913043478,61.0,2.0
10,2026-01-23,10035,497,93.08695652173913,60.0,2.0
10,2026-01-24,5101,531,72.17391304347827,54.0,0.0
10,2026-01-25,4881,507,72.45454545454545,56.0,0.0
10,2026-01-26,8599,515,86.95833333333333,60.0,2.0
10,2026-01-27,8551,507,87.70833333333333,61.0,1.0
10,2026-01-28,8689,501,88.38095238095238,59.0,0.0
10,2026-01-29,8587,500,86.63636363636364,56.0,1.0
10,2026-01-30,8798,504,87.75,57.0,1.0
10,2026-01-31,5379,525,75.30434782608695,55.0,0.0
10,2026-02-01,5370,512,75.0,55.0,0.0
10,2026-02-02,9233,501,87.81818181818181,58.0,2.0
10,2026-02-03,9251,507,68.0,65.0,1.0
11,2026-01-05,10946,433,87.9090909090909,59.0,2.0
11,2026-01-06,11659,424,89.66666666666667,60.0,2.0
11,2026-01-07,10452,423,85.8695652173913,57.0,0.0
11,2026-01-08,9841,425,85.86363636363636,58.0,2.0
11,2026-01-09,10957,425,88.45833333333333,60.0,1.0
11,2026-01-10,6979,442,74.20833333333333,53.0,0.0
11,2026-01-11,7045,441,77.1304347826087,57.0,0.0
11,2026-01-12,10724,443,87.04166666666667,57.0,1.0
11,2026-01-13,10165,443,85.43478260869566,59.0,1.0
11,2026-01-14,9609,437,83.36363636363636,55.0,0.0
11,2026-01-15,9124,440,83.0,58.0,2.0
11,2026-01-16,9583,428,82.375,59.0,1.0
11,2026-01-17,5952,448,72.0,56.0,0.0
11,2026-01-18,6552,453,72.54545454545455,52.0,0.0
11,2026-01-19,9935,438,83.91304347826087,57.0,1.0
11,2026-01-20,10300,444,85.8695652173913,56.0,1.0
11,2026-01-21,9879,439,84.58333333333333,57.0,2.0
11,2026-01-22,9706,450,84.86363636363636,57.0,2.0
11,2026-01-23,10077,440,86.1304347826087,60.0,1.0
11,2026-01-24,6878,431,75.72727272727273,57.0,0.0
11,2026-01-25,6677,430,74.47826086956522,52.0,0.0
11,2026-01-26,11433,431,89.41666666666667,60.0,1.0
11,2026-01-27,11869,436,90.91304347826087,56.0,1.0
11,2026-01-28,11433,432,90.04166666666667,59.0,2.0
11,2026-01-29,11247,440,88.31818181818181,59.0,1.0
11,2026-01-30,11402,439,89.43478260869566,58.0,1.0
11,2026-01-31,6592,446,74.125,54.0,0.0
11,2026-02-01,5915,461,74.0,55.0,0.0
11,2026-02-02,9684,427,84.29166666666667,57.0,1.0
11,2026-02-03,10661,436,66.0,61.0,0.0
12,2026-01-05,9536,369,89.69565217391305,60.0,1.0
12,2026-01-06,9118,372,88.04347826086956,60.0,0.0
12,2026-01-07,8777,359,87.82608695652173,60.0,0.0
12,2026-01-08,8335,381,86.125,61.0,2.0
12,2026-01-09,8584,374,87.3913043478261,59.0,1.0
12,2026-01-10,5380,375,74.36363636363636,55.0,0.0
12,2026-01-11,4931,389,71.5,55.0,0.0
12,2026-01-12,7720,364,83.17391304347827,59.0,1.0
12,2026-01-13,7798,381,85.04347826086956,57.0,1.0
12,2026-01-14,8611,356,85.65217391304348,59.0,1.0
12,2026-01-15,8938,352,88.2,58.0,1.0
12,2026-01-16,8855,380,87.77272727272727,60.0,1.0
12,2026-01-17,5265,385,75.27272727272727,57.0,0.0
12,2026-01-18,5831,385,76.43478260869566,56.0,0.0
12,2026-01-19,9550,374,90.85714285714286,60.0,2.0
12,2026-01-20,9184,373,88.20833333333333,59.0,1.0
12,2026-01-21,9584,378,89.375,60.0,1.0
12,2026-01-22,9804,371,90.66666666666667,60.0,1.0
12,2026-01-23,9631,357,89.56521739130434,60.0,1.0
12,2026-01-24,5779,390,75.0,52.0,0.0
12,2026-01-25,5669,378,76.16666666666667,55.0,0.0
12,2026-01-26,9099,379,90.8695652173913,61.0,2.0
12,2026-01-27,9562,382,91.04347826086956,62.0,0.0
12,2026-01-28,9755,369,90.04347826086956,61.0,0.0
12,2026-01-29,9639,380,90.625,61.0,1.0
12,2026-01-30,9696,364,90.52173913043478,59.0,0.0
12,2026-01-31,5776,377,76.0952380952381,56.0,0.0
12,2026-02-01,6051,381,78.52173913043478,57.0,0.0
12,2026-02-02,9223,372,91.8,60.0,2.0
12,2026-02-03,8114,377,69.0,66.0,2.0
13,2026-01-05,7838,407,89.73913043478261,59.0,2.0
13,2026-01-06,8891,399,95.72727272727273,61.0,2.0
13,2026-01-07,8385,400,93.34782608695652,62.0,0.0
13,2026-01-08,7611,400,89.33333333333333,62.0,1.0
13,2026-01-09,7017,403,85.77272727272727,60.0,2.0
13,2026-01-10,4380,423,72.625,53.0,0.0
13,2026-01-11,4711,412,75.6,54.0,0.0
13,2026-01-12,7461,420,87.25,59.0,1.0
13,2026-01-13,7418,398,85.72727272727273,59.0,1.0
13,2026-01-14,7837,408,89.95454545454545,61.0,2.0
13,2026-01-15,7891,396,91.80952380952381,58.0,2.0
13,2026-01-16,7830,404,86.47619047619048,59.0,2.0
13,2026-01-17,4323,416,72.75,53.0,0.0
13,2026-01-18,4188,410,71.0952380952381,55.0,0.0
13,2026-01-19,7486,409,86.72727272727273,60.0,1.0
13,2026-01-20,7391,407,87.2,56.0,1.0
13,2026-01-21,7644,414,88.30434782608695,57.0,2.0
13,2026-01-22,7621,408,88.82608695652173,59.0,1.0
13,2026-01-23,7722,407,86.85714285714286,56.0,1.0
13,2026-01-24,4829,418,76.3913043478261,56.0,0.0
13,2026-01-25,4695,413,74.54166666666667,55.0,0.0
13,2026-01-26,7890,393,91.17391304347827,61.0,0.0
13,2026-01-27,7498,403,87.70833333333333,58.0,1.0
13,2026-01-28,8170,406,91.16666666666667,60.0,2.0
13,2026-01-29,8176,415,91.86363636363636,56.0,2.0
13,2026-01-30,8156,397,93.19047619047619,63.0,1.0
13,2026-01-31,5064,416,77.04166666666667,57.0,0.0
13,2026-02-01,5006,410,76.34782608695652,55.0,0.0
13,2026-02-02,8487,399,94.27272727272727,62.0,2.0
13,2026-02-03,8363,395,70.0,68.0,2.0
14,2026-01-05,13659,432,83.26086956521739,54.0,2.0
14,2026-01-06,14171,432,85.08695652173913,54.0,2.0
14,2026-01-07,13424,445,81.47826086956522,52.0,1.0
14,2026-01-08,13355,430,81.69565217391305,53.0,1.0
14,2026-01-09,12768,427,79.91304347826087,51.0,2.0
14,2026-01-10,7671,445,67.29166666666667,50.0,0.0
14,2026-01-11,8162,455,68.16666666666667,50.0,0.0
14,2026-01-12,11592,436,75.21739130434783,50.0,1.0
14,2026-01-13,12231,443,77.70833333333333,52.0,1.0
14,2026-01-14,13983,433,85.65,54.0,2.0
14,2026-01-15,14142,418,84.0,52.0,1.0
14,2026-01-16,13667,435,82.08333333333333,50.0,2.0
14,2026-01-17,8913,431,70.47826086956522,49.0,0.0
14,2026-01-18,8569,446,68.78260869565217,47.0,0.0
14,2026-01-19,14851,428,82.9090909090909,51.0,1.0
14,2026-01-20,13506,443,81.6086956521739,51.0,1.0
14,2026-01-21,12708,421,79.16666666666667,52.0,2.0
14,2026-01-22,13611,440,81.20833333333333,49.0,1.0
14,2026-01-23,14081,425,83.6086956521739,51.0,1.0
14,2026-01-24,8797,426,69.31818181818181,48.0,0.0
14,2026-01-25,8604,453,68.72727272727273,48.0,0.0
14,2026-01-26,15330,429,86.54166666666667,55.0,2.0
14,2026-01-27,15110,428,85.3913043478261,53.0,1.0
14,2026-01-28,14844,427,84.86363636363636,55.0,1.0
14,2026-01-29,14497,432,82.54545454545455,53.0,2.0
14,2026-01-30,13102,435,78.56521739130434,50.0,0.0
14,2026-01-31,8220,439,68.16666666666667,48.0,0.0
14,2026-02-01,8526,468,68.45833333333333,47.0,0.0
14,2026-02-02,14047,424,82.79166666666667,51.0,1.0
14,2026-02-03,12827,426,63.0,59.0,1.0
15,2026-01-05,8527,456,82.36363636363636,51.0,1.0
15,2026-01-06,8542,465,82.68181818181819,55.0,2.0
15,2026-01-07,8090,456,81.0,53.0,2.0
15,2026-01-08,8923,460,84.33333333333333,55.0,1.0
15,2026-01-09,8479,436,83.08695652173913,55.0,1.0
15,2026-01-10,5549,458,69.95652173913044,50.0,0.0
15,2026-01-11,5263,466,69.66666666666667,49.0,0.0
15,2026-01-12,8760,442,85.81818181818181,55.0,1.0
15,2026-01-13,8567,449,82.95833333333333,52.0,1.0
15,2026-01-14,8273,441,81.0,52.0,1.0
15,2026-01-15,8145,455,81.16666666666667,53.0,2.0
15,2026-01-16,8184,461,81.125,53.0,2.0
15,2026-01-17,5099,464,69.0,48.0,0.0
15,2026-01-18,5158,449,69.41666666666667,50.0,0.0
15,2026-01-19,8577,438,82.78260869565217,53.0,2.0
15,2026-01-20,8538,442,82.52173913043478,55.0,2.0
15,2026-01-21,9664,444,87.04347826086956,54.0,2.0
15,2026-01-22,8885,452,83.27272727272727,55.0,0.0
15,2026-01-23,8222,443,81.625,53.0,2.0
15,2026-01-24,4724,463,68.26086956521739,50.0,0.0
15,2026-01-25,4597,459,67.58333333333333,50.0,0.0
15,2026-01-26,7760,460,81.23809523809524,52.0,2.0
15,2026-01-27,8287,442,82.0909090909091,54.0,2.0
15,2026-01-28,8075,449,82.04347826086956,53.0,1.0
15,2026-01-29,8110,447,82.78260869565217,55.0,2.0
15,2026-01-30,8330,435,84.0,56.0,1.0
15,2026-01-31,5363,453,69.73913043478261,49.0,0.0
15,2026-02-01,5188,461,68.0,50.0,0.0
15,2026-02-02,7567,467,80.0,53.0,1.0
15,2026-02-03,7952,465,61.0,58.0,2.0
16,2026-01-05,7561,437,85.82608695652173,55.0,0.0
16,2026-01-06,7360,420,83.79166666666667,55.0,2.0
16,2026-01-07,7393,418,85.33333333333333,56.0,1.0
16,2026-01-08,7468,417,84.52173913043478,54.0,2.0
16,2026-01-09,7424,420,84.5909090909091,55.0,0.0
16,2026-01-10,4225,432,70.5,54.0,0.0
16,2026-01-11,4443,423,71.5909090909091,53.0,0.0
16,2026-01-12,7424,422,85.41666666666667,56.0,2.0
16,2026-01-13,7447,405,86.4090909090909,55.0,0.0
16,2026-01-14,7830,414,85.69565217391305,55.0,2.0
16,2026-01-15,7202,425,83.4090909090909,54.0,2.0
16,2026-01-16,6801,429,81.72727272727273,54.0,2.0
16,2026-01-17,4078,423,70.04166666666667,50.0,0.0
16,2026-01-18,3918,418,67.82608695652173,52.0,0.0
16,2026-01-19,7221,420,84.3913043478261,56.0,2.0
16,2026-01-20,7500,423,86.95652173913044,57.0,2.0
16,2026-01-21,7310,419,85.04166666666667,57.0,2.0
16,2026-01-22,7495,420,85.16666666666667,56.0,0.0
16,2026-01-23,7353,421,82.5,55.0,1.0
16,2026-01-24,3977,431,69.5909090909091,51.0,0.0
16,2026-01-25,4101,430,70.08333333333333,52.0,0.0
16,2026-01-26,7071,427,82.65217391304348,53.0,1.0
16,2026-01-27,6922,418,82.57142857142857,55.0,2.0
16,2026-01-28,6568,419,81.625,52.0,1.0
16,2026-01-29,6513,427,79.66666666666667,53.0,2.0
16,2026-01-30,6549,419,80.04545454545455,53.0,0.0
16,2026-01-31,4008,441,68.125,50.0,0.0
